 area_id |    marker_type     | long_range | count 
---------+--------------------+------------+-------
       0 | BauxitePickup      | f          |     1
      10 | ScrapMetalPart     | f          |   251
      10 | ScrapMetalWreckage | f          |   164
      10 | FuelCellPart       | f          |   123
      10 | AzuritePickup      | f          |   107
      10 | RhyolitePickup     | f          |   105
      10 | FuelCellWreckage   | f          |    30
      10 | BrittleBush        | f          |    28
      10 | BauxitePickup      | f          |    14
      10 | BasaltOre          | f          |    13
      10 | BauxiteOre         | f          |    12
      10 | StravidiumOre      | f          |    12
      10 | TitaniumOre        | f          |    10
      10 | BasaltPickup       | f          |     9
      10 | RhyoliteOre        | f          |     9
      10 | StravidiumPickup   | f          |     9
      10 | TitaniumPickup     | f          |     9
      10 | AzuriteOre         | f          |     8
      64 | ScrapMetalPart     | f          |   304
      64 | ScrapMetalWreckage | f          |   196
      64 | FuelCellPart       | f          |   121
      64 | RhyolitePickup     | f          |   113
      64 | AzuritePickup      | f          |   108
      64 | BrittleBush        | f          |    43
      64 | FuelCellWreckage   | f          |    32
      64 | BauxitePickup      | f          |    24
      64 | BauxiteOre         | f          |    24
      64 | BasaltPickup       | f          |    22
      64 | BasaltOre          | f          |    21
      64 | AzuriteOre         | f          |     9
      64 | TitaniumOre        | f          |     9
      64 | StravidiumOre      | f          |     7
      64 | TitaniumPickup     | f          |     7
      64 | RhyoliteOre        | f          |     7
      64 | StravidiumPickup   | f          |     3
      64 | Shipwreck          | t          |     1
      64 | Ecolab             | t          |     1
      65 | ScrapMetalPart     | f          |     3
      65 | RhyolitePickup     | f          |     2
      65 | BauxiteOre         | f          |     1
      65 | ScrapMetalWreckage | f          |     1
      65 | BauxitePickup      | f          |     1
      65 | FuelCellPart       | f          |     1
      65 | StravidiumPickup   | f          |     1
      65 | StravidiumOre      | f          |     1
(45 rows)

