field_id,map,dimension_index,value_remaining,field_kind_id
28375615967052711,DeepDesert,0,5000,1
4873365954893940,HaggaBasin,0,5000,1
7095120197088529,DeepDesert,0,5000,1
21052009584007800,DeepDesert,1,150000,1
23913423175512151,DeepDesert,0,5000,1
20964814376379493,DeepDesert,0,60000,0
4772272475050165,DeepDesert,0,60000,0
42278686610964952,DeepDesert,0,150000,1
30421766288078168,DeepDesert,0,150000,1
22733028827757103,DeepDesert,1,5000,1
34579781416314929,DeepDesert,0,60000,0
15893560460403283,DeepDesert,0,60000,0
31299238226818371,DeepDesert,0,60000,0
8619937278428167,DeepDesert,1,5000,1
34913030717401429,DeepDesert,0,5000,1
34140203152077129,DeepDesert,0,60000,0
4798192998423334,HaggaBasin,0,5000,1
36732653415600274,HaggaBasin,0,60000,0
20248542045991882,HaggaBasin,0,60000,0
10801509907764328,DeepDesert,0,150000,1
13937148876871753,DeepDesert,0,5000,1
13063429115023107,DeepDesert,0,5000,1
24947933046559944,DeepDesert,1,150000,1
18004696028101576,DeepDesert,0,150000,1
34913030717401429,DeepDesert,1,5000,1
22458964985522855,DeepDesert,1,5000,1
10876524658166281,HaggaBasin,0,60000,0
38280785760914705,HaggaBasin,0,60000,0
6358881937392184,DeepDesert,1,150000,1
2673828335221573,HaggaBasin,0,60000,0
28169756733558784,HaggaBasin,0,60000,0
17987713093309701,HaggaBasin,0,60000,0
35532113226872505,HaggaBasin,0,60000,0
31868209223396327,HaggaBasin,0,5000,1
19681027582608039,HaggaBasin,0,60000,0
26105611387271919,DeepDesert,1,5000,1
15576654749273496,DeepDesert,1,150000,1
30965226396263091,DeepDesert,1,60000,0
26531655930762632,DeepDesert,1,150000,1
19972853402799341,DeepDesert,1,60000,0
7776923940315147,DeepDesert,1,60000,0
23064626832451003,DeepDesert,1,60000,0
19181071859976919,DeepDesert,1,5000,1
24343459598631167,DeepDesert,1,60000,0
12753754757862575,DeepDesert,1,60000,0
9205148799454124288,DeepDesert,1,2500000,1
30869984173274567,HaggaBasin,0,60000,0
13252225509499329,DeepDesert,1,60000,0
25170240740395838,HaggaBasin,0,5000,1
9108028955389213,DeepDesert,1,60000,0
21514343802207443,DeepDesert,1,60000,0
4169250708869533,HaggaBasin,0,60000,0
16427148996830939,DeepDesert,1,60000,0
5607608340539875,DeepDesert,1,60000,0
17758405423798904,DeepDesert,1,150000,1
2242859727710706,HaggaBasin,0,60000,0
13267500551535293,DeepDesert,1,60000,0
10009703331230545,HaggaBasin,0,60000,0
4512358262961995,HaggaBasin,0,60000,0
15690304818571797,DeepDesert,0,60000,0
9411975169917849,HaggaBasin,0,60000,0
32088216421221273,HaggaBasin,0,60000,0
13010066613021109,DeepDesert,0,5000,1
6358029655290936,DeepDesert,1,150000,1
4372036926018201,DeepDesert,1,5000,1
11923096594846119,DeepDesert,0,5000,1
42281380092736856,DeepDesert,0,150000,1
30035370748766691,DeepDesert,0,5000,1
17233939243392501,DeepDesert,0,60000,0
11266202953131501,DeepDesert,0,60000,0
13144215420690856,DeepDesert,0,150000,1
10672892814776685,DeepDesert,0,5000,1
18421764699354456,DeepDesert,0,150000,1
30180719354735175,DeepDesert,0,60000,0
32542297210485971,DeepDesert,0,60000,0
22356354905888307,DeepDesert,0,60000,0
31112492637644899,DeepDesert,1,5000,1
18004696028101576,DeepDesert,1,150000,1
7796290741555819,DeepDesert,1,5000,1
9819718399938232,DeepDesert,1,150000,1
34669889700487023,HaggaBasin,0,60000,0
9650664873689051,DeepDesert,1,60000,0
13010066613021109,DeepDesert,1,5000,1
18379137633991845,DeepDesert,0,60000,0
1297346312558096,HaggaBasin,0,60000,0
29072331733036317,DeepDesert,1,60000,0
32191668793166405,DeepDesert,1,60000,0
5444148189064427,DeepDesert,1,60000,0
13093143427721432,DeepDesert,1,150000,1
7582093251431223,DeepDesert,1,60000,0
7617665411863667,HaggaBasin,0,60000,0
17892763839624999,DeepDesert,1,5000,1
33050792674128635,DeepDesert,1,60000,0
10180404822775735,DeepDesert,0,5000,1
6512813565853976,DeepDesert,1,150000,1
22583561831698517,DeepDesert,0,5000,1
10238601501680101,HaggaBasin,0,60000,0
29889099947275573,HaggaBasin,0,60000,0
9205148799454124288,DeepDesert,0,2500000,1
29048758519984649,DeepDesert,1,60000,0
13703939216443464,DeepDesert,0,150000,1
23969216151418941,HaggaBasin,0,60000,0
12084286211717992,DeepDesert,0,150000,1
21238142459746680,HaggaBasin,0,60000,0
27119505863515591,DeepDesert,1,5000,1
28438893182813191,DeepDesert,1,5000,1
35129750300668329,DeepDesert,1,5000,1
16843911379123945,DeepDesert,0,60000,0
36011413738562918,HaggaBasin,0,60000,0
21470190217389303,DeepDesert,1,60000,0
29890275165644461,DeepDesert,1,60000,0
4076665344755749,HaggaBasin,0,60000,0
13904431597802625,DeepDesert,1,60000,0
14125878684947873,DeepDesert,0,60000,0
23924260220946287,DeepDesert,1,60000,0
17578887862933129,HaggaBasin,0,60000,0
13630723847612223,DeepDesert,1,60000,0
14048631484662403,DeepDesert,1,60000,0
15304889804670297,DeepDesert,1,60000,0
8713135220144199,DeepDesert,1,60000,0
15533639759951655,DeepDesert,1,5000,1
10040053525915359,DeepDesert,1,5000,1
12889661399858024,DeepDesert,1,150000,1
36485427296632311,DeepDesert,0,5000,1
11266202953131501,DeepDesert,1,60000,0
17639172101511871,DeepDesert,1,60000,0
33266776361935781,DeepDesert,1,60000,0
22376973497951529,DeepDesert,0,5000,1
27030865770860437,DeepDesert,0,5000,1
12222110489845141,DeepDesert,0,60000,0
13630723847612223,DeepDesert,0,60000,0
8713135220144199,DeepDesert,0,60000,0
13145562162657960,DeepDesert,0,150000,1
23340272194301480,DeepDesert,0,150000,1
15308820027587649,DeepDesert,0,5000,1
18419071219273304,DeepDesert,0,150000,1
20829473702629169,DeepDesert,0,60000,0
19086142720574763,DeepDesert,0,60000,0
