         t          |   x    |    y    |  z   | long_range 
--------------------+--------+---------+------+------------
 AzuriteOre         |    912 | -208709 | 6186 | f
 AzuriteOre         |   5594 | -203389 | 8951 | f
 AzuritePickup      | -18959 | -205886 |  457 | f
 AzuritePickup      | -10667 | -188404 |  928 | f
 AzuritePickup      |  -7425 | -206349 | 3691 | f
 AzuritePickup      |  -1193 | -186954 | 1031 | f
 AzuritePickup      |   -511 | -196201 | 3135 | f
 AzuritePickup      |   -142 | -192406 | 2713 | f
 AzuritePickup      |    600 | -208437 | 6110 | f
 AzuritePickup      |   2276 | -193606 | 2618 | f
 AzuritePickup      |   5416 | -203759 | 8930 | f
 AzuritePickup      |   5542 | -183866 |  732 | f
 AzuritePickup      |   9161 | -184730 |  995 | f
 BasaltOre          | -13347 | -208110 | 3087 | f
 BasaltOre          |   7596 | -209877 | 5028 | f
 BasaltOre          |   8780 | -203689 | 8915 | f
 BasaltPickup       | -12954 | -207989 | 3180 | f
 BasaltPickup       |   7320 | -210181 | 5150 | f
 BasaltPickup       |   8465 | -203729 | 8927 | f
 BauxiteOre         |   2813 | -208117 | 6343 | f
 BauxitePickup      |   2433 | -208270 | 6262 | f
 BrittleBush        | -12809 | -205843 | 2658 | f
 BrittleBush        |  -6843 | -205660 | 3793 | f
 BrittleBush        |  -6120 | -195348 | 3160 | f
 BrittleBush        |   -524 | -203779 | 5138 | f
 BrittleBush        |   2737 | -197575 | 2898 | f
 FuelCellPart       | -18981 | -200936 |  828 | f
 FuelCellPart       | -18265 | -205515 |  589 | f
 FuelCellPart       | -17604 | -211333 |  528 | f
 FuelCellPart       | -17399 | -211683 |  513 | f
 FuelCellPart       | -15282 | -197040 | 1900 | f
 FuelCellPart       | -13661 | -201353 | 5440 | f
 FuelCellPart       | -12569 | -213448 |  941 | f
 FuelCellPart       | -12263 | -195881 | 2873 | f
 FuelCellPart       | -11635 | -202793 | 5419 | f
 FuelCellPart       | -11550 | -200415 | 5447 | f
 FuelCellPart       |  -7730 | -206091 | 3833 | f
 FuelCellPart       |  -6102 | -208878 | 2518 | f
 FuelCellPart       |  -5252 | -193273 | 2872 | f
 FuelCellPart       |  -2185 | -187037 |  989 | f
 FuelCellPart       |  -1971 | -206860 | 4920 | f
 FuelCellPart       |  -1612 | -197623 | 3689 | f
 FuelCellPart       |  -1511 | -192205 | 2760 | f
 FuelCellPart       |  -1033 | -195460 | 3126 | f
 FuelCellPart       |   -450 | -185045 |  734 | f
 FuelCellPart       |    194 | -213140 | 3647 | f
 FuelCellPart       |   1163 | -190047 | 2145 | f
 FuelCellPart       |   2945 | -193937 | 2470 | f
 FuelCellPart       |   3043 | -205189 | 8637 | f
 FuelCellPart       |   3439 | -190792 | 2102 | f
 FuelCellPart       |   3629 | -205457 | 8731 | f
 FuelCellPart       |   4057 | -188946 | 2054 | f
 FuelCellPart       |   4807 | -199190 | 4035 | f
