marker_type,count
ScrapMetalPart,3454
ScrapMetalWreckage,1929
RhyolitePickup,1778
FuelCellPart,1763
AzuritePickup,1163
BrittleBush,973
RhyoliteOre,412
EnemyCamp,397
TitaniumOre,334
PrimroseField,286
DolomiteRock,278
FuelCellWreckage,276
DolomitePickup,262
TitaniumPickup,254
AzuriteOre,237
BasaltOre,205
BasaltPickup,204
MagnetiteOre,184
MagnetitePickup,160
BauxiteOre,146
StravidiumOre,130
BauxitePickup,119
Cave,108
StravidiumPickup,101
EnemyOutpost,72
Hazard_Quicksand,70
ErythriteOre,27
NoIcon,22
Shipwreck,22
Ecolab,20
Hazard_Drumsand,18
ExplorationPointOfInterest,16
EnemyLaborOutpost,14
LandsraadVendor,8
Sietch,8
LevelExit,7
HomeBase,6
Hazard_Radiation,6
TaxiService,5
TradingPost,4
BarkeepVendor,3
HouseRepresentativeWallach,2
SaguaroSeed,2
HouseRepresentativeVarota,2
SurvivalVendor,2
WeaponsVendor,2
ImperialConsulate,2
ResourceVendor,2
StructureVendor,2
Bank,2
SpiceFieldMedium,2
SpiceVendor,2
CHOAMExchange,2
HouseRepresentativeHagal,2
VehicleVendor,2
HouseRepresentativeImota,1
CentralPlaza,1
HouseRepresentativeHurata,1
TrainerMentat,1
HouseRepresentativeLindaren,1
SpireKeep,1
Discoverable,1
HouseRepresentativeRichese,1
TrainerSwordmaster,1
HouseRepresentativeMikarrol,1
HouseRepresentativeArgosaz,1
HouseRepresentativeThorvald,1
BeastsBend,1
HouseRepresentativeWydras,1
SalusanBull,1
NeoCarthagOutskirts,1
HouseRepresentativeVernius,1
ControlPointHouseTseida,1
ErythritePickup,1
HarkonnenFortress,1
HouseRepresentativeSpinette,1
TrainerBeneGesserit,1
HarkoRecustomization,1
HouseRepresentativeTaligari,1
NewCourtWay,1
Hannivars,1
TrainerPlanetologist,1
TheWarrens,1
DuncansDojo,1
AtreidesVendor,1
HarkonnenVendor,1
HouseRepresentativeMutelli,1
TheBaronsEye,1
HouseRepresentativeMoritani,1
HouseRepresentativeDyvetz,1
HouseRepresentativeAlexin,1
ResidencyCourtyard,1
ArrakeenRecustomization,1
HouseRepresentativeEcaz,1
HouseRepresentativeSor,1
HouseRepresentativeKenola,1
HouseRepresentativeNovebruns,1
AtreidesFortress,1
TrainerTrooper,1
