marker_type,x,y,z,long_range,area_id
ScrapMetalPart,-1042785,-109694,627,f,19
ScrapMetalPart,-1035147,-133788,1927,f,19
RhyolitePickup,-1037112,-138242,1657,f,19
FuelCellPart,-1042886,-110447,659,f,19
AzuritePickup,-1032378,-141719,2061,f,19
ScrapMetalPart,-1043726,-110025,700,f,19
BrittleBush,-850337,1028601,15675,f,11
ScrapMetalWreckage,-829630,1006843,15533,f,11
ScrapMetalPart,-830069,1040463,18776,f,11
Shipwreck,-857475,1039944,17751,t,11
ScrapMetalPart,-828915,1016209,15445,f,11
RhyolitePickup,-829778,1007251,15601,f,11
BrittleBush,-833240,1008514,15794,f,11
BrittleBush,-1024341,-131565,1248,f,19
BrittleBush,-1051644,-105956,1092,f,19
TitaniumOre,-1021604,-133393,1602,f,19
ScrapMetalPart,-1029516,-140224,2114,f,19
AzuritePickup,-830675,1008003,15799,f,11
ScrapMetalPart,-832409,1032147,15565,f,11
ScrapMetalPart,-832721,1007557,15707,f,11
ScrapMetalPart,-831288,1040487,18733,f,11
RhyolitePickup,-832203,1015048,15660,f,11
ScrapMetalPart,-829774,1007683,15748,f,11
ScrapMetalWreckage,-828796,1005107,15314,f,11
BrittleBush,-836378,1047300,20101,f,11
ScrapMetalWreckage,-847728,996598,15202,f,11
FuelCellPart,-829085,1005327,15340,f,11
RhyolitePickup,-845351,990589,15387,f,11
FuelCellPart,-854232,1028846,15336,f,11
BasaltPickup,-847437,995554,15214,f,11
ScrapMetalPart,-827888,1008408,15764,f,11
ScrapMetalPart,-848444,1029656,15533,f,11
ScrapMetalPart,-847516,1027935,15683,f,11
FuelCellPart,-832170,1014608,15678,f,11
AzuritePickup,-845430,990945,15377,f,11
AzuritePickup,-1040229,-106994,405,f,19
FuelCellPart,-1042530,-110494,634,f,19
FuelCellPart,-1027623,-133655,1501,f,19
RhyolitePickup,-1032763,-141711,2097,f,19
AzuritePickup,-1041333,-108063,638,f,19
ScrapMetalWreckage,-1027386,-142156,1600,f,19
ScrapMetalPart,-1040593,-108647,396,f,19
FuelCellPart,-1041710,-109617,521,f,19
ScrapMetalPart,-1040873,-109313,433,f,19
FuelCellWreckage,-1041735,-109881,531,f,19
BrittleBush,-854508,1028986,15316,f,11
BrittleBush,-1051403,-104950,1226,f,19
ScrapMetalWreckage,-1035773,-134229,1925,f,19
FuelCellPart,-1030551,-140843,2159,f,19
ScrapMetalWreckage,-1044011,-109485,788,f,19
RhyolitePickup,-1031234,-133877,2177,f,19
FuelCellPart,-1042951,-109496,666,f,19
FuelCellPart,-1041121,-108781,492,f,19
TitaniumOre,-1031082,-132018,1701,f,19
ScrapMetalPart,-1035599,-134187,1918,f,19
RhyolitePickup,-1029183,-140498,1967,f,19
ScrapMetalPart,-1028231,-138668,1928,f,19
ScrapMetalWreckage,-1042029,-102365,1120,f,19
ScrapMetalPart,-1042148,-109218,627,f,19
ScrapMetalPart,-1020224,-126500,819,f,19
ScrapMetalPart,-1040663,-104593,567,f,19
ScrapMetalPart,-1045747,-111032,807,f,19
ScrapMetalPart,-1027503,-142395,1589,f,19
ScrapMetalWreckage,-1042673,-109930,623,f,19
ScrapMetalWreckage,-1028263,-139049,1937,f,19
ScrapMetalWreckage,-1028774,-140640,1899,f,19
BrittleBush,-1025120,-132101,1388,f,19
FuelCellWreckage,-1041107,-108809,476,f,19
BrittleBush,-1021620,-127737,922,f,19
ScrapMetalPart,-1036717,-138204,1820,f,19
BasaltOre,-1040967,-106649,720,f,19
RhyolitePickup,-1028697,-137997,2066,f,19
BrittleBush,-1046767,-104252,4434,f,19
StravidiumOre,-1049560,-109801,1051,f,19
BrittleBush,-1037405,-141097,1905,f,19
ScrapMetalWreckage,-1042044,-110481,587,f,19
StravidiumOre,-1029928,-134299,3574,f,19
BasaltPickup,-1040595,-106693,566,f,19
ScrapMetalPart,-1026680,-140932,1655,f,19
BrittleBush,-1036857,-142249,1793,f,19
RhyolitePickup,-1036767,-137473,1790,f,19
AzuritePickup,-1041263,-109749,484,f,19
ScrapMetalPart,-1041192,-103976,737,f,19
FuelCellPart,-1027017,-137135,1459,f,19
ScrapMetalPart,-1042205,-110532,607,f,19
ScrapMetalPart,-1021971,-133098,1951,f,19
StravidiumPickup,-1029981,-134652,3535,f,19
ScrapMetalWreckage,-1035311,-133744,1962,f,19
ScrapMetalWreckage,-1029517,-141159,1867,f,19
ScrapMetalWreckage,-1028587,-141805,1524,f,19
ScrapMetalWreckage,-1041226,-103748,751,f,19
ScrapMetalWreckage,-1026899,-141086,1593,f,19
FuelCellPart,-1026584,-135342,1227,f,19
ScrapMetalWreckage,-828073,1007449,15571,f,11
ScrapMetalPart,-844896,996214,15490,f,11
FuelCellPart,-824143,1035184,17551,f,11
ScrapMetalPart,-828087,1007444,15579,f,11
FuelCellPart,-848202,1025906,15668,f,11
ScrapMetalPart,-828063,1008699,15891,f,11
AzuritePickup,-830924,1015010,15718,f,11
ScrapMetalPart,-831431,1032257,15536,f,11
AzuritePickup,-821809,1033536,17482,f,11
AzuritePickup,-847906,1025633,15724,f,11
BrittleBush,-850043,1024701,16057,f,11
BrittleBush,-832097,1033721,15586,f,11
ScrapMetalPart,-831990,1033289,15535,f,11
BauxiteOre,-837718,991330,17109,f,11
TitaniumPickup,-829190,1009635,16436,f,11
RhyolitePickup,-849746,1029405,15454,f,11
RhyolitePickup,-850100,1025715,15832,f,11
ScrapMetalWreckage,-830326,1040391,18739,f,11
ScrapMetalPart,-828665,1015290,15744,f,11
BrittleBush,-832886,1034469,15571,f,11
ScrapMetalPart,-828683,1042082,19383,f,11
ScrapMetalWreckage,-845921,1027992,15504,f,11
FuelCellWreckage,-829443,1018272,15153,f,11
AzuritePickup,-828133,1037834,18073,f,11
ScrapMetalWreckage,-831305,1040479,18696,f,11
ScrapMetalPart,-832974,1009269,15854,f,11
ScrapMetalWreckage,-829114,1014923,15938,f,11
ScrapMetalWreckage,-847337,1028061,15686,f,11
ScrapMetalWreckage,-830839,1045415,20051,f,11
TitaniumPickup,-855357,1027292,15273,f,11
ScrapMetalPart,-830193,1004752,15374,f,11
RhyolitePickup,-844875,995809,15537,f,11
ScrapMetalWreckage,-829057,1016318,15427,f,11
ScrapMetalWreckage,-830501,1007094,15501,f,11
ScrapMetalWreckage,-836084,1049006,20678,f,11
FuelCellWreckage,-844235,991864,17458,f,11
BrittleBush,-852009,1042915,15948,f,11
ScrapMetalPart,-827693,1008130,15646,f,11
