                 m                  | s  
------------------------------------+----
 Arrakeen                           | 11
 CB_Dungeon_Hephaestus              | -1
 CB_Dungeon_OldCarthag              | -1
 CB_Dungeon_ThePit                  | -1
 CB_Ecolab_Bronze_Green_024         | -1
 CB_Ecolab_Bronze_Green_089         | -1
 CB_Ecolab_Bronze_Green_136         | -1
 CB_Ecolab_Bronze_Green_152         | -1
 CB_Ecolab_Bronze_Green_195         | -1
 CB_Overland_M_01                   | -1
 CB_Overland_S_04                   | -1
 CB_Overland_S_06                   | -1
 CB_Overland_S_07                   | -1
 CB_Overland_S_08                   | -1
 CB_Story_BanditFortress01          | -1
 CB_Story_Ecolab_Carthag            | -1
 CB_Story_Hephaestus                | -1
 CB_Story_WaterFatManor             | -1
 DLC_Story_LostHarvest_EcolabA      | -1
 DLC_Story_LostHarvest_EcolabB      | -1
 DLC_Story_LostHarvest_ForgottenLab | -1
 DeepDesert                         |  2
 DeepDesert_1                       | -1
 HaggaBasin                         |  2
 HarkoVillage                       | 11
 Overland                           |  2
 Overmap                            | -1
 SH_Arrakeen                        | -1
 SH_HarkoVillage                    | -1
 Story_ArtOfKanly                   | -1
 Story_Faction_Outpost_Atre         | -1
 Story_Faction_Outpost_Hark         | -1
 Story_HeighlinerDungeon            | -1
 Story_ProcesVerbal                 | -1
 Survival_1                         | -1
(35 rows)

